acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.479,https://api.spotify.com/v1/audio-analysis/7nwGvxqSrgAuty1tlPGCFz,0.555,187600,0.783,7nwGvxqSrgAuty1tlPGCFz,0.0,10,0.0838,-1.888,1,0.112,1,149.785,4,https://api.spotify.com/v1/tracks/7nwGvxqSrgAuty1tlPGCFz,audio_features,spotify:track:7nwGvxqSrgAuty1tlPGCFz,0.329
0.0288,https://api.spotify.com/v1/audio-analysis/0Pco14HYWwaaZs2Kbrw8bU,0.763,203497,0.759,0Pco14HYWwaaZs2Kbrw8bU,0.0138,8,0.187,-6.694,1,0.238,1,137.034,4,https://api.spotify.com/v1/tracks/0Pco14HYWwaaZs2Kbrw8bU,audio_features,spotify:track:0Pco14HYWwaaZs2Kbrw8bU,0.165
0.616,https://api.spotify.com/v1/audio-analysis/53H7i04CdeNAvK7GzXangz,0.425,207300,0.615,53H7i04CdeNAvK7GzXangz,0.23,11,0.0809,-5.45,1,0.215,1,175.765,3,https://api.spotify.com/v1/tracks/53H7i04CdeNAvK7GzXangz,audio_features,spotify:track:53H7i04CdeNAvK7GzXangz,0.222
0.157,https://api.spotify.com/v1/audio-analysis/5r7PIaS6r6V0hghjnmrdI5,0.833,246147,0.873,5r7PIaS6r6V0hghjnmrdI5,0.0177,9,0.207,-4.557,1,0.039,1,117.004,4,https://api.spotify.com/v1/tracks/5r7PIaS6r6V0hghjnmrdI5,audio_features,spotify:track:5r7PIaS6r6V0hghjnmrdI5,0.643
0.219,https://api.spotify.com/v1/audio-analysis/3BncHqRrHyNMH7jYJH56Nf,0.726,178168,0.62,3BncHqRrHyNMH7jYJH56Nf,0.0,2,0.0805,-4.981,1,0.567,1,91.942,4,https://api.spotify.com/v1/tracks/3BncHqRrHyNMH7jYJH56Nf,audio_features,spotify:track:3BncHqRrHyNMH7jYJH56Nf,0.573
0.0132,https://api.spotify.com/v1/audio-analysis/6tuhSlOz8YtUfI8MHhVmFP,0.696,225500,0.627,6tuhSlOz8YtUfI8MHhVmFP,1.8e-05,11,0.126,-6.066,1,0.0273,1,104.999,4,https://api.spotify.com/v1/tracks/6tuhSlOz8YtUfI8MHhVmFP,audio_features,spotify:track:6tuhSlOz8YtUfI8MHhVmFP,0.208
0.0592,https://api.spotify.com/v1/audio-analysis/5cc62veyW5v62uiAMZnFc5,0.767,205229,0.69,5cc62veyW5v62uiAMZnFc5,4.28e-06,10,0.116,-8.466,0,0.182,1,100.045,4,https://api.spotify.com/v1/tracks/5cc62veyW5v62uiAMZnFc5,audio_features,spotify:track:5cc62veyW5v62uiAMZnFc5,0.582
0.0362,https://api.spotify.com/v1/audio-analysis/2pviqyUEZ6U8XMZuZpUhQF,0.708,221653,0.615,2pviqyUEZ6U8XMZuZpUhQF,0.00432,3,0.359,-7.161,0,0.0749,1,123.995,4,https://api.spotify.com/v1/tracks/2pviqyUEZ6U8XMZuZpUhQF,audio_features,spotify:track:2pviqyUEZ6U8XMZuZpUhQF,0.646
0.251,https://api.spotify.com/v1/audio-analysis/4gvov5JYkjdgHvuxp9JOqu,0.719,192000,0.362,4gvov5JYkjdgHvuxp9JOqu,0.359,3,0.0865,-10.941,0,0.105,1,140.131,4,https://api.spotify.com/v1/tracks/4gvov5JYkjdgHvuxp9JOqu,audio_features,spotify:track:4gvov5JYkjdgHvuxp9JOqu,0.448
0.277,https://api.spotify.com/v1/audio-analysis/0LRDr7rhv07TA2rz7c3sEP,0.706,391813,0.67,0LRDr7rhv07TA2rz7c3sEP,0.673,0,0.133,-8.496,0,0.0476,1,125.002,4,https://api.spotify.com/v1/tracks/0LRDr7rhv07TA2rz7c3sEP,audio_features,spotify:track:0LRDr7rhv07TA2rz7c3sEP,0.0634
0.0117,https://api.spotify.com/v1/audio-analysis/3QHW2XMzWOaIEbZeZpMe0f,0.638,283773,0.822,3QHW2XMzWOaIEbZeZpMe0f,0.166,6,0.132,-9.024,0,0.0348,1,123.976,4,https://api.spotify.com/v1/tracks/3QHW2XMzWOaIEbZeZpMe0f,audio_features,spotify:track:3QHW2XMzWOaIEbZeZpMe0f,0.292
0.233,https://api.spotify.com/v1/audio-analysis/56lfiApDTYBslfBRpmghz6,0.596,218000,0.538,56lfiApDTYBslfBRpmghz6,4.08e-05,11,0.521,-7.048,0,0.128,1,106.043,4,https://api.spotify.com/v1/tracks/56lfiApDTYBslfBRpmghz6,audio_features,spotify:track:56lfiApDTYBslfBRpmghz6,0.359
0.277,https://api.spotify.com/v1/audio-analysis/439xqSNVmUQIp1oWmg2CZH,0.707,216000,0.588,439xqSNVmUQIp1oWmg2CZH,0.000615,0,0.105,-7.112,1,0.0523,1,120.036,4,https://api.spotify.com/v1/tracks/439xqSNVmUQIp1oWmg2CZH,audio_features,spotify:track:439xqSNVmUQIp1oWmg2CZH,0.152
